original_string,original_docstring,modified_short_docstring,
"private static boolean checkFilter(final String name, final boolean ignoreCase, final String[] array, final boolean returnValueIfEmpty) {
    if ((array == null) || (array.length == 0)) return returnValueIfEmpty;
    for (final String s: array) {
      if (s == null) continue;
      final boolean b = ignoreCase ? s.equalsIgnoreCase(name) : s.equals(name);
      if (b) return true;
    }
    return false;
  }","/**
   * Check whether the specified name matches a value in the specified array.
   * @param name the name to check.
   * @param ignoreCase determines whether name comparisons should ignore case.
   * @param array the filter array to check against.
   * @param returnValueIfEmpty the value to return if the array is null or empty.
   * @return true if the name matches one of the values in the array, false otherwise.
   */",/// Explore to get latest release information,
"public double averageLog2JointProbability(String refCategory,
                                              String responseCategory) {
        validateCategory(refCategory);
        validateCategory(responseCategory);
        double sum = 0.0;
        int count = 0;
        for (int i = 0; i < mReferenceCategories.size(); ++i) {
            if (mReferenceCategories.get(i).equals(refCategory)) {
                JointClassification c
                    = (JointClassification) mClassifications.get(i);
                for (int rank = 0; rank < c.size(); ++rank) {
                    if (c.category(rank).equals(responseCategory)) {
                        sum += c.jointLog2Probability(rank);
                        ++count;
                        break;
                    }
                }
            }
        }
        return sum / (double) count;
    }","/**
     * Returns the average log (base 2) joint probability of the
     * response category for cases of the specified reference
     * category.  If there are no cases matching the reference
     * category, the result is <code>Double.NaN</code>.
     *
     * <P>Better classifiers return high values when the reference
     * and response categories are the same and lower values
     * when they are different.  Unlike the conditional probability
     * values, joint probability averages are not particularly
     * useful because they are not normalized by input length.  For
     * the language model classifiers, the scores are normalized
     * by length, and provide a better cross-case view.
     *
     * @param refCategory Reference category.
     * @param responseCategory Response category.
     * @return Average log (base 2) conditional probability of
     * response category in cases for specified reference category.
     * @throws IllegalArgumentException If the either category is unknown.
     * @throws ClassCastException if the classifications are not joint
     * classifications.
     */","/// broadcast messages from the leader to layer 1 nodes
/// # Remarks",
"public <T1> boolean hasTTL(T1 key, String keySplTypeName, boolean encodeKey) throws StoreFactoryException {
		boolean result;
		long[] err = new long[1];
		DpsHelper dps = null;

                // Validate that the caller can ask us not to encode the key only for rstring data type.
                if (encodeKey == false && keySplTypeName != ""rstring"") {
                   // It is non-rstring data type. We must base64 encode the data.
                   encodeKey = true;
                }
		
		try {
			dps = DpsHelperHolder.getDpsHelper();
			result = dps.dpsHasTTL(key, keySplTypeName, """", err, encodeKey);
		} catch(Exception e) {
			// Either dps cannot be initialized or hasTTL went wrong.
			throw new StoreFactoryException(65535, e.getMessage());
		}
		
		if (err[0] != 0) {
			throw new StoreFactoryException(dps.dpsGetLastErrorCodeTTL(), 
				dps.dpsGetLastErrorStringTTL());
		}
		
		return(result);		
	}",// Check if a TTL based K/V pair for a given key exists in the global area of the back-end data store.,/// Check if all tasks for this group have been completed,
"@Test
    public void testPrivateTorrent() throws IOException {
        TorrentBuilder torrentBuilder = makeTorrentBuilder(CREATED_BY, Collections.singletonList(testfileName));
        torrentBuilder.privateFlag(true);

        Torrent decodedTorrent = buildAndDecodeTorrent(torrentBuilder);
        Assert.assertTrue(decodedTorrent.isPrivate());
    }","/**
     * Test making a simple torrent with a single file
     *
     * @throws IOException on failure
     */",/// This constructs a Config struct with all None,
"public static GetSnapshotContentsTaskResult deserialize(String taskResult) {
        JaxbJsonSerializer<GetSnapshotContentsTaskResult> serializer =
            new JaxbJsonSerializer<>(GetSnapshotContentsTaskResult.class);
        try {
            return serializer.deserialize(taskResult);
        } catch (IOException e) {
            throw new SnapshotDataException(
                ""Unable to create task result due to: "" + e.getMessage());
        }
    }","/**
     * Parses properties from task result
     *
     * @param taskResult - JSON formatted set of properties
     */",/// Wait until the services of the given device have been resolved.,
"@Test
    void whenNotParemetersGiven_thenReturnBadRequest() throws Exception {
        mvc.perform(get(BASE_QUALITY_URI).contentType(MediaType.APPLICATION_JSON))
                .andExpect(status().isBadRequest());
    }","/*
        Test whenever some/or all parameters were not passed within the
        Endpoint
     */","/// Returns the length of the common prefix with the `other` name; e. g.
/// the when `other = 11110000` and `self = 11111111` this is 4.",
"private void StartSensorButtonActionPerformed(java.awt.event.ActionEvent evt) {//GEN-FIRST:event_StartSensorButtonActionPerformed

        try {
            if (!currentSensor.getStatus().equals(""ON"")) {
                station.startSensor(currentSensor);
                StatusTextField.setText(currentSensor.getStatus());

            } else {
                JOptionPane.showMessageDialog(WindComboBox, ""Sensor is already on"");
            }

        } catch (Exception e) {
            JOptionPane.showMessageDialog(WindComboBox, ""No sensor Selected"");
        }
//        System.out.println(currentSensor.getSensorData().toString());


    }","/**
     * Start the current sensor selected by user
     *
     * @param evt
     */","/// Provides an API similar to `Stream`, except that it cannot error.",
"public static native void glClipPlanef(
        int plane,
        float[] equation,
        int offset
    );","// C function void glClipPlanef ( GLenum plane, const GLfloat *equation )","/// Shows a button with the given color.
/// If the user clicks the button, a full color picker is shown.
/// The given color is in `sRGBA` space with premultiplied alpha",
"@Override
    public Entry floorEntry(K key) throws IllegalArgumentException {
        int j=findIndex(key);
        if(j==size()|| !key.equals(table.get(j).getKey()))
            // look one earlier unless we had found a perfect match
            {j--;}
        return safeEntry(j);
    }",/** Returns the entry with greatest key less than or equal to given key(if any)*/,/// Sets a custom storage adapter to be used.,
"private static void writeMaterial(OutputStream os, Material m) throws IOException {
		writeString(os, m.getId());
		writeFloatArray(os, m.getAmbientColor().getArray());
		writeFloatArray(os, m.getDiffuseColor().getArray());
		writeFloatArray(os, m.getSpecularColor().getArray());
		writeFloatArray(os, m.getEmissionColor().getArray());
		writeFloat(os, m.getShininess());
		writeString(os, m.getDiffuseTexturePathName());
		writeString(os, m.getDiffuseTextureFileName());
		writeString(os, m.getSpecularTexturePathName());
		writeString(os, m.getSpecularTextureFileName());
		writeString(os, m.getNormalTexturePathName());
		writeString(os, m.getNormalTextureFileName());
		writeString(os, m.getDisplacementTexturePathName());
		writeString(os, m.getDisplacementTextureFileName());
	}","/**
	 * Write material 
	 * @param output stream
	 * @param material
	 * @throws IOException
	 */",/// hexcode-to-rgb converter. panics on malformed RGB hex codes,
"def list_by_api_next_async(next_page_link, custom_headers:nil)
      fail ArgumentError, 'next_page_link is nil' if next_page_link.nil?


      request_headers = {}
      request_headers['Content-Type'] = 'application/json; charset=utf-8'

      # Set Headers
      request_headers['x-ms-client-request-id'] = SecureRandom.uuid
      request_headers['accept-language'] = @client.accept_language unless @client.accept_language.nil?
      path_template = '{nextLink}'

      request_url = @base_url || @client.base_url

      options = {
          middlewares: [[MsRest::RetryPolicyMiddleware, times: 3, retry: 0.02], [:cookie_jar]],
          skip_encoding_path_params: {'nextLink' => next_page_link},
          headers: request_headers.merge(custom_headers || {}),
          base_url: request_url
      }
      promise = @client.make_request_async(:get, path_template, options)

      promise = promise.then do |result|
        http_response = result.response
        status_code = http_response.status
        response_content = http_response.body
        unless status_code == 200
          error_model = JSON.load(response_content)
          fail MsRest::HttpOperationError.new(result.request, http_response, error_model)
        end

        result.request_id = http_response['x-ms-request-id'] unless http_response['x-ms-request-id'].nil?
        result.correlation_request_id = http_response['x-ms-correlation-request-id'] unless http_response['x-ms-correlation-request-id'].nil?
        result.client_request_id = http_response['x-ms-client-request-id'] unless http_response['x-ms-client-request-id'].nil?
        # Deserialize Response
        if status_code == 200
          begin
            parsed_response = response_content.to_s.empty? ? nil : JSON.load(response_content)
            result_mapper = Azure::ApiManagement::Mgmt::V2019_12_01::Models::SchemaCollection.mapper()
            result.body = @client.deserialize(result_mapper, parsed_response)
          rescue Exception => e
            fail MsRest::DeserializationError.new('Error occurred in deserializing the response', e.message, e.backtrace, result)
          end
        end

        result
      end

      promise.execute
    end","#
# Get the schema configuration at the API level.
#
# @param next_page_link [String] The NextLink from the previous successful call
# to List operation.
# @param [Hash{String => String}] A hash of custom headers that will be added
# to the HTTP request.
#
# @return [Concurrent::Promise] Promise object which holds the HTTP response.
#",,
"def zrevrangebyscore(key, max, min, withscores: false, with_scores: withscores, limit: nil)
      on_result(@redis.zrevrangebyscore(encrypt_key(key), max, min, with_scores: with_scores, limit: limit)) do |res|
        if with_scores
          res.map { |v, s| [decrypt_member(v), s] }
        else
          res.map { |v| decrypt_member(v) }
        end
      end
    end",# could guarantee lexographical order when limit not used,,
"def sign(certname)
        waiting, signed = certificates

        raise('Already have a certificate for %s. Not attempting to sign again' % certname) if signed.include?(certname)

        if waiting.include?(certname)
          output = ''
          Shell.new('%s sign %s --color=none' % [@puppetca, certname], :stdout => output).runcommand
          return output
        else
          raise('Could not find certificate to sign: %s' % certname)
        end
      end",# Sign a cert if one is waiting,,
"def all_validation_errors
      additional_errors.each do |field, error|
        errors.add(field, error)
      end

      errors.each do |field|
        errors[field].uniq!
      end

      errors
    end","# A list of automatically and manually added errors for the model.
#
# @return [ActiveModel::Errors] A list of automatically and manually added errors for the model.",,
"def list_capacities_next_async(next_page_link, custom_headers:nil)
      fail ArgumentError, 'next_page_link is nil' if next_page_link.nil?


      request_headers = {}
      request_headers['Content-Type'] = 'application/json; charset=utf-8'

      # Set Headers
      request_headers['x-ms-client-request-id'] = SecureRandom.uuid
      request_headers['accept-language'] = @client.accept_language unless @client.accept_language.nil?
      path_template = '{nextLink}'

      request_url = @base_url || @client.base_url

      options = {
          middlewares: [[MsRest::RetryPolicyMiddleware, times: 3, retry: 0.02], [:cookie_jar]],
          skip_encoding_path_params: {'nextLink' => next_page_link},
          headers: request_headers.merge(custom_headers || {}),
          base_url: request_url
      }
      promise = @client.make_request_async(:get, path_template, options)

      promise = promise.then do |result|
        http_response = result.response
        status_code = http_response.status
        response_content = http_response.body
        unless status_code == 200
          error_model = JSON.load(response_content)
          fail MsRest::HttpOperationError.new(result.request, http_response, error_model)
        end

        result.request_id = http_response['x-ms-request-id'] unless http_response['x-ms-request-id'].nil?
        result.correlation_request_id = http_response['x-ms-correlation-request-id'] unless http_response['x-ms-correlation-request-id'].nil?
        result.client_request_id = http_response['x-ms-client-request-id'] unless http_response['x-ms-client-request-id'].nil?
        # Deserialize Response
        if status_code == 200
          begin
            parsed_response = response_content.to_s.empty? ? nil : JSON.load(response_content)
            result_mapper = Azure::Web::Mgmt::V2018_02_01::Models::StampCapacityCollection.mapper()
            result.body = @client.deserialize(result_mapper, parsed_response)
          rescue Exception => e
            fail MsRest::DeserializationError.new('Error occurred in deserializing the response', e.message, e.backtrace, result)
          end
        end

        result
      end

      promise.execute
    end","#
# Get the used, available, and total worker capacity an App Service
# Environment.
#
# Get the used, available, and total worker capacity an App Service
# Environment.
#
# @param next_page_link [String] The NextLink from the previous successful call
# to List operation.
# @param [Hash{String => String}] A hash of custom headers that will be added
# to the HTTP request.
#
# @return [Concurrent::Promise] Promise object which holds the HTTP response.
#",,
"def add_authority(authority=nil)
      if authority.class == String && !block_given?
        @j_del.java_method(:addAuthority, [Java::java.lang.String.java_class]).call(authority)
        return self
      end
      raise ArgumentError, ""Invalid arguments when calling add_authority(authority)""
    end","#  Add a required authority for this auth handler
# @param [String] authority the authority
# @return [self]",,
"def write_sheet_pr #:nodoc:
      return unless tab_outline_fit? || vba_codename? || filter_on?

      attributes = []
      attributes << ['codeName',   @vba_codename] if vba_codename?
      attributes << ['filterMode', 1]             if filter_on?

      if tab_outline_fit?
        @writer.tag_elements('sheetPr', attributes) do
          write_tab_color
          write_outline_pr
          write_page_set_up_pr
        end
      else
        @writer.empty_tag('sheetPr', attributes)
      end
    end","#
# Write the <sheetPr> element for Sheet level properties.
#",,
"def to_rack_response(disposition: ""inline"", range: false)
          range = parse_http_range(range) if range

          status  = range ? 206 : 200
          headers = rack_headers(disposition: disposition, range: range)
          body    = rack_body(range: range)

          [status, headers, body]
        end",# Returns a Rack response triple for the uploaded file.,,
"def generate_answer_async(kb_id, generate_answer_payload, custom_headers:nil)
      fail ArgumentError, '@client.runtime_endpoint is nil' if @client.runtime_endpoint.nil?
      fail ArgumentError, 'kb_id is nil' if kb_id.nil?
      fail ArgumentError, 'generate_answer_payload is nil' if generate_answer_payload.nil?


      request_headers = {}
      request_headers['Content-Type'] = 'application/json; charset=utf-8'

      # Set Headers
      request_headers['x-ms-client-request-id'] = SecureRandom.uuid
      request_headers['accept-language'] = @client.accept_language unless @client.accept_language.nil?

      # Serialize Request
      request_mapper = Azure::CognitiveServices::QnamakerRuntime::V4_0::Models::QueryDTO.mapper()
      request_content = @client.serialize(request_mapper,  generate_answer_payload)
      request_content = request_content != nil ? JSON.generate(request_content, quirks_mode: true) : nil

      path_template = 'knowledgebases/{kbId}/generateAnswer'

      request_url = @base_url || @client.base_url
    request_url = request_url.gsub('{RuntimeEndpoint}', @client.runtime_endpoint)

      options = {
          middlewares: [[MsRest::RetryPolicyMiddleware, times: 3, retry: 0.02], [:cookie_jar]],
          path_params: {'kbId' => kb_id},
          body: request_content,
          headers: request_headers.merge(custom_headers || {}),
          base_url: request_url
      }
      promise = @client.make_request_async(:post, path_template, options)

      promise = promise.then do |result|
        http_response = result.response
        status_code = http_response.status
        response_content = http_response.body
        unless status_code == 200
          error_model = JSON.load(response_content)
          fail MsRest::HttpOperationError.new(result.request, http_response, error_model)
        end

        result.request_id = http_response['x-ms-request-id'] unless http_response['x-ms-request-id'].nil?
        result.correlation_request_id = http_response['x-ms-correlation-request-id'] unless http_response['x-ms-correlation-request-id'].nil?
        result.client_request_id = http_response['x-ms-client-request-id'] unless http_response['x-ms-client-request-id'].nil?
        # Deserialize Response
        if status_code == 200
          begin
            parsed_response = response_content.to_s.empty? ? nil : JSON.load(response_content)
            result_mapper = Azure::CognitiveServices::QnamakerRuntime::V4_0::Models::QnASearchResultList.mapper()
            result.body = @client.deserialize(result_mapper, parsed_response)
          rescue Exception => e
            fail MsRest::DeserializationError.new('Error occurred in deserializing the response', e.message, e.backtrace, result)
          end
        end

        result
      end

      promise.execute
    end","#
# GenerateAnswer call to query the knowledgebase.
#
# @param kb_id [String] Knowledgebase id.
# @param generate_answer_payload [QueryDTO] Post body of the request.
# @param [Hash{String => String}] A hash of custom headers that will be added
# to the HTTP request.
#
# @return [Concurrent::Promise] Promise object which holds the HTTP response.
#",,
"def put_into_frame
      @image = frame.composite(image, ""png"") do |c|
        c.compose ""Over""
        c.geometry offset['offset']
      end
    end",# puts the screenshot into the frame,,
"def list_async(resource_group_name, account_name, pool_name, volume_name, custom_headers:nil)
      fail ArgumentError, '@client.subscription_id is nil' if @client.subscription_id.nil?
      fail ArgumentError, 'resource_group_name is nil' if resource_group_name.nil?
      fail ArgumentError, ""'resource_group_name' should satisfy the constraint - 'MaxLength': '90'"" if !resource_group_name.nil? && resource_group_name.length > 90
      fail ArgumentError, ""'resource_group_name' should satisfy the constraint - 'MinLength': '1'"" if !resource_group_name.nil? && resource_group_name.length < 1
      fail ArgumentError, ""'resource_group_name' should satisfy the constraint - 'Pattern': '^[-\w\._\(\)]+$'"" if !resource_group_name.nil? && resource_group_name.match(Regexp.new('^^[-\w\._\(\)]+$$')).nil?
      fail ArgumentError, 'account_name is nil' if account_name.nil?
      fail ArgumentError, 'pool_name is nil' if pool_name.nil?
      fail ArgumentError, 'volume_name is nil' if volume_name.nil?
      fail ArgumentError, '@client.api_version is nil' if @client.api_version.nil?


      request_headers = {}
      request_headers['Content-Type'] = 'application/json; charset=utf-8'

      # Set Headers
      request_headers['x-ms-client-request-id'] = SecureRandom.uuid
      request_headers['accept-language'] = @client.accept_language unless @client.accept_language.nil?
      path_template = 'subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.NetApp/netAppAccounts/{accountName}/capacityPools/{poolName}/volumes/{volumeName}/snapshots'

      request_url = @base_url || @client.base_url

      options = {
          middlewares: [[MsRest::RetryPolicyMiddleware, times: 3, retry: 0.02], [:cookie_jar]],
          path_params: {'subscriptionId' => @client.subscription_id,'resourceGroupName' => resource_group_name,'accountName' => account_name,'poolName' => pool_name,'volumeName' => volume_name},
          query_params: {'api-version' => @client.api_version},
          headers: request_headers.merge(custom_headers || {}),
          base_url: request_url
      }
      promise = @client.make_request_async(:get, path_template, options)

      promise = promise.then do |result|
        http_response = result.response
        status_code = http_response.status
        response_content = http_response.body
        unless status_code == 200
          error_model = JSON.load(response_content)
          fail MsRestAzure::AzureOperationError.new(result.request, http_response, error_model)
        end

        result.request_id = http_response['x-ms-request-id'] unless http_response['x-ms-request-id'].nil?
        result.correlation_request_id = http_response['x-ms-correlation-request-id'] unless http_response['x-ms-correlation-request-id'].nil?
        result.client_request_id = http_response['x-ms-client-request-id'] unless http_response['x-ms-client-request-id'].nil?
        # Deserialize Response
        if status_code == 200
          begin
            parsed_response = response_content.to_s.empty? ? nil : JSON.load(response_content)
            result_mapper = Azure::NetApp::Mgmt::V2019_10_01::Models::SnapshotsList.mapper()
            result.body = @client.deserialize(result_mapper, parsed_response)
          rescue Exception => e
            fail MsRest::DeserializationError.new('Error occurred in deserializing the response', e.message, e.backtrace, result)
          end
        end

        result
      end

      promise.execute
    end","#
# Describe all snapshots
#
# List all snapshots associated with the volume
#
# @param resource_group_name [String] The name of the resource group.
# @param account_name [String] The name of the NetApp account
# @param pool_name [String] The name of the capacity pool
# @param volume_name [String] The name of the volume
# @param [Hash{String => String}] A hash of custom headers that will be added
# to the HTTP request.
#
# @return [Concurrent::Promise] Promise object which holds the HTTP response.
#",,
"def destroy
    run_callbacks :destroy do
      self.deleted_at = DateTime.now
    end
  end","# override destroy to get soft delete like acts_as_paranoid style delete
# Note: delete_all (used in helper) bypasses this and deletes all rows.",,
"def typecast_enumerator(enumerator)
        if enumerator.is_a?(Array)
          enumerator.flatten!
          enumerator.map! {|value| typecast_enumerator(value)}
          enumerator
        else
          enumerator.is_a?(Symbol) ? enumerator.to_s : enumerator
        end
      end","# Typecasts the given enumerator to its actual value stored in the
# database.  This will only convert symbols to strings.  All other values
# will remain in the same type.",,
"def begin_create_or_update_async(resource_group_name, application_name, parameters, custom_headers:nil)
      fail ArgumentError, 'resource_group_name is nil' if resource_group_name.nil?
      fail ArgumentError, ""'resource_group_name' should satisfy the constraint - 'MaxLength': '90'"" if !resource_group_name.nil? && resource_group_name.length > 90
      fail ArgumentError, ""'resource_group_name' should satisfy the constraint - 'MinLength': '1'"" if !resource_group_name.nil? && resource_group_name.length < 1
      fail ArgumentError, ""'resource_group_name' should satisfy the constraint - 'Pattern': '^[-\w\._\(\)]+$'"" if !resource_group_name.nil? && resource_group_name.match(Regexp.new('^^[-\w\._\(\)]+$$')).nil?
      fail ArgumentError, 'application_name is nil' if application_name.nil?
      fail ArgumentError, ""'application_name' should satisfy the constraint - 'MaxLength': '64'"" if !application_name.nil? && application_name.length > 64
      fail ArgumentError, ""'application_name' should satisfy the constraint - 'MinLength': '3'"" if !application_name.nil? && application_name.length < 3
      fail ArgumentError, 'parameters is nil' if parameters.nil?
      fail ArgumentError, '@client.api_version is nil' if @client.api_version.nil?
      fail ArgumentError, '@client.subscription_id is nil' if @client.subscription_id.nil?


      request_headers = {}
      request_headers['Content-Type'] = 'application/json; charset=utf-8'

      # Set Headers
      request_headers['x-ms-client-request-id'] = SecureRandom.uuid
      request_headers['accept-language'] = @client.accept_language unless @client.accept_language.nil?

      # Serialize Request
      request_mapper = Azure::Resources::Mgmt::V2018_06_01::Models::Application.mapper()
      request_content = @client.serialize(request_mapper,  parameters)
      request_content = request_content != nil ? JSON.generate(request_content, quirks_mode: true) : nil

      path_template = 'subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Solutions/applications/{applicationName}'

      request_url = @base_url || @client.base_url

      options = {
          middlewares: [[MsRest::RetryPolicyMiddleware, times: 3, retry: 0.02], [:cookie_jar]],
          path_params: {'resourceGroupName' => resource_group_name,'applicationName' => application_name,'subscriptionId' => @client.subscription_id},
          query_params: {'api-version' => @client.api_version},
          body: request_content,
          headers: request_headers.merge(custom_headers || {}),
          base_url: request_url
      }
      promise = @client.make_request_async(:put, path_template, options)

      promise = promise.then do |result|
        http_response = result.response
        status_code = http_response.status
        response_content = http_response.body
        unless status_code == 200 || status_code == 201
          error_model = JSON.load(response_content)
          fail MsRest::HttpOperationError.new(result.request, http_response, error_model)
        end

        result.request_id = http_response['x-ms-request-id'] unless http_response['x-ms-request-id'].nil?
        result.correlation_request_id = http_response['x-ms-correlation-request-id'] unless http_response['x-ms-correlation-request-id'].nil?
        result.client_request_id = http_response['x-ms-client-request-id'] unless http_response['x-ms-client-request-id'].nil?
        # Deserialize Response
        if status_code == 200
          begin
            parsed_response = response_content.to_s.empty? ? nil : JSON.load(response_content)
            result_mapper = Azure::Resources::Mgmt::V2018_06_01::Models::Application.mapper()
            result.body = @client.deserialize(result_mapper, parsed_response)
          rescue Exception => e
            fail MsRest::DeserializationError.new('Error occurred in deserializing the response', e.message, e.backtrace, result)
          end
        end
        # Deserialize Response
        if status_code == 201
          begin
            parsed_response = response_content.to_s.empty? ? nil : JSON.load(response_content)
            result_mapper = Azure::Resources::Mgmt::V2018_06_01::Models::Application.mapper()
            result.body = @client.deserialize(result_mapper, parsed_response)
          rescue Exception => e
            fail MsRest::DeserializationError.new('Error occurred in deserializing the response', e.message, e.backtrace, result)
          end
        end

        result
      end

      promise.execute
    end","#
# Creates a new managed application.
#
# @param resource_group_name [String] The name of the resource group. The name
# is case insensitive.
# @param application_name [String] The name of the managed application.
# @param parameters [Application] Parameters supplied to the create or update a
# managed application.
# @param [Hash{String => String}] A hash of custom headers that will be added
# to the HTTP request.
#
# @return [Concurrent::Promise] Promise object which holds the HTTP response.
#",,
"def first_env
          case env = config[:env]
          when Array
            env.first
          when Hash
            env.fetch(:jobs, nil)&.first
          end
        rescue nil
        end",# should be able to drop a lot of this once everyone's on /configs,,
"def execute(sql, opts=OPTS)
        opts = Hash[opts]
        opts[:type] = :select
        opts[:stream] = @opts[:stream]
        super
      end",# Set the :type option to :select if it hasn't been set.,,
"def update_camera
    #warning! This function calls are ORDERED!
    #if you don't have any idea what you're editing, don't do it!
    reload_camera #TODO: Fix to make camera up right. very inefficient algorithm.
    
    vec = @camera_data.get_camera_x_axis_vector
    glRotatef(@camera_data.xspin, vec.x, 0.0, vec.z) #X rotate
    glRotatef(@camera_data.yspin, 0.0, 1.0, 0.0) #Y rotate
    
    # camera back to player pos and calculate speed 
    #TODO: Why do this guy calculate speed?
    glTranslatef(-(@camera_data.pos.x + @camera_data.speed.x), -(@camera_data.pos.y + @camera_data.speed.y), -(@camera_data.pos.z + @camera_data.speed.z)) 
  end",#this thing NEEDS to be module!,,
"def ship_numbers_match?
      single_ship_count == SINGLE_SHIP[:count] &&
        cruiser_count   == CRUISER[:count]     &&
        destroyer_count == DESTROYER[:count]   &&
        submarine_count == SUBMARINE[:count]
    end",# verify that ship type and number matches with initial requirements,,
"def find(plan_id, options = {})
      self.prefill(options)

      request = Request.new(@client)
      path    = ""/plans/"" + CGI.escape(plan_id) + """"
      data    = {

      }

      response = Response.new(request.get(path, data, options))
      return_values = Array.new
      
      body = response.body
      body = body[""plan""]
      
      
      obj = Plan.new(@client)
      return_values.push(obj.fill_with_data(body))
      

      
      return_values[0]
    end","# Find a plan by its ID.
# Params:
# +plan_id+:: ID of the plan
# +options+:: +Hash+ of options",,
"def binary_filename_for(name)
      user_file = File.join(binary_directory, ""#{basename}-#{name}"") 
      return user_file if File.exists?(user_file)
      built_in = File.join(built_in_commands_directory, ""#{name}.rb"") 
      return built_in if File.exists?(built_in)
      user_file
    end","# load first from users binary directory. then load built-in commands if
# available",,
"pub fn expect_contains<P>(&self, path: P, pattern: &str)
        where P: AsRef<Path>
    {
        let path = self.dir.join(path);
        let contents = self.read_file(&path);
        assert!(contents.contains(pattern),
                format!(""expected {} to match {:?}, but it contained {:?}"",
                        path.display(), pattern, contents));
    }","/// Verify that the contents of the file match the specified pattern.
/// Someday this should support `std::str::pattern::Pattern` so that we
/// can support both strings and regular expressions, but that hasn't
/// been stabilized yet.",,
"pub async fn schema(&mut self, context: &mut Context) -> Result<(), LatteError> {
        let context = ContextRefMut::new(context);
        self.async_call(FnRef::new(SCHEMA_FN), (context,)).await?;
        Ok(())
    }","/// Calls the script's `schema` function.
/// Typically used to create database schema.",,
"pub(super) fn compress_cond_expr_if_simillar(&mut self, e: &mut Expr) {
        if !self.options.conditionals {
            return;
        }

        let cond = match e {
            Expr::Cond(expr) => expr,
            _ => return,
        };

        let compressed =
            self.compress_similar_cons_alt(&mut cond.test, &mut cond.cons, &mut cond.alt, false);

        match compressed {
            Some(v) => {
                *e = v;
                self.changed = true;
                return;
            }
            None => {}
        }

        // x ? x : y => x || y
        if cond.test.is_ident() && cond.test.eq_ignore_span(&cond.cons) {
            log::trace!(""Compressing `x ? x : y` as `x || y`"");
            self.changed = true;
            *e = Expr::Bin(BinExpr {
                span: cond.span,
                op: op!(""||""),
                left: cond.test.take(),
                right: cond.alt.take(),
            });
            return;
        }
    }",/// Compress a conditional expression if cons and alt is simillar,,
"pub fn make_workspace_edit(location: Location, new_text: String) -> WorkspaceEdit {
    let changes = vec![(
        location.uri,
        vec![TextEdit {
            range: location.range,
            new_text,
        }],
    )].into_iter()
    .collect();

    WorkspaceEdit {
        changes: Some(changes),
        document_changes: None,
    }
}",/// Create an edit for the given location and text.,,
"fn infix_binding_power(op: &Token) -> Option<(u8, u8)> {
    let res = match op {
        Token::Add | Token::Minus => (1, 2),
        Token::Mul | Token::Div => (3, 4),
        Token::PlusMinus => (7,8),
        _ => return None,
    };
    Some(res)
}","///Optionally returns the binding power of an infix operator.
///
///This is at the core of Pratt's method for parsing, because
///it totally orders the precedence of each operator.
///
///If the operator is not valid, returns None.",,
